"filename", "language", "PHP", "Markdown", "HTML", "JavaScript", "comment", "blank", "total"
"c:\Users\leann\Documents\GitHub\legendary-octo-guide\OLD\admin\scripts\new_user.php", "PHP", 15, 0, 0, 0, 6, 5, 26
"c:\Users\leann\Documents\GitHub\legendary-octo-guide\OLD\admin\scripts\session.php", "PHP", 7, 0, 0, 0, 2, 1, 10
"c:\Users\leann\Documents\GitHub\legendary-octo-guide\OLD\admin\scripts\ssp.class.php", "PHP", 308, 0, 0, 0, 181, 82, 571
"c:\Users\leann\Documents\GitHub\legendary-octo-guide\OLD\admin\scripts\users.php", "PHP", 19, 0, 0, 0, 23, 8, 50
"c:\Users\leann\Documents\GitHub\legendary-octo-guide\OLD\admin\src\auth\login.php", "PHP", 113, 0, 0, 0, 17, 16, 146
"c:\Users\leann\Documents\GitHub\legendary-octo-guide\OLD\admin\src\auth\logout.php", "PHP", 7, 0, 0, 0, 4, 3, 14
"c:\Users\leann\Documents\GitHub\legendary-octo-guide\OLD\admin\src\auth\register.php", "PHP", 141, 0, 0, 0, 20, 19, 180
"c:\Users\leann\Documents\GitHub\legendary-octo-guide\OLD\admin\src\auth\reset-password.php", "PHP", 89, 0, 0, 0, 15, 13, 117
"c:\Users\leann\Documents\GitHub\legendary-octo-guide\OLD\admin\src\misc\account.php", "PHP", 153, 0, 0, 0, 12, 16, 181
"c:\Users\leann\Documents\GitHub\legendary-octo-guide\OLD\admin\src\misc\adminheader.php", "PHP", 160, 0, 0, 0, 0, 22, 182
"c:\Users\leann\Documents\GitHub\legendary-octo-guide\OLD\admin\src\misc\faq.php", "PHP", 24, 0, 0, 0, 2, 6, 32
"c:\Users\leann\Documents\GitHub\legendary-octo-guide\OLD\admin\src\misc\footer.php", "PHP", 20, 0, 0, 0, 0, 0, 20
"c:\Users\leann\Documents\GitHub\legendary-octo-guide\OLD\admin\src\misc\header.php", "PHP", 141, 0, 0, 0, 0, 21, 162
"c:\Users\leann\Documents\GitHub\legendary-octo-guide\OLD\admin\src\misc\simple-header.php", "PHP", 86, 0, 0, 0, 0, 14, 100
"c:\Users\leann\Documents\GitHub\legendary-octo-guide\OLD\admin\src\misc\support.php", "PHP", 27, 0, 0, 0, 2, 5, 34
"c:\Users\leann\Documents\GitHub\legendary-octo-guide\OLD\admin\src\underconstruction\index.html", "HTML", 0, 0, 255, 0, 0, 16, 271
"c:\Users\leann\Documents\GitHub\legendary-octo-guide\OLD\admin\src\underconstruction\js\jquery-3.6.0.js", "JavaScript", 0, 0, 0, 6895, 1911, 2076, 10882
"c:\Users\leann\Documents\GitHub\legendary-octo-guide\OLD\cust\index.php", "PHP", 12, 0, 0, 0, 4, 9, 25
"c:\Users\leann\Documents\GitHub\legendary-octo-guide\OLD\cust\pages\borrow\borrow-an-item.php", "PHP", 89, 0, 0, 0, 7, 18, 114
"c:\Users\leann\Documents\GitHub\legendary-octo-guide\OLD\cust\pages\borrow\my-borrowed-items.php", "PHP", 27, 0, 0, 0, 2, 6, 35
"c:\Users\leann\Documents\GitHub\legendary-octo-guide\OLD\cust\pages\howto\book-a-howto.php", "PHP", 27, 0, 0, 0, 2, 5, 34
"c:\Users\leann\Documents\GitHub\legendary-octo-guide\OLD\cust\pages\howto\my-booked-howto.php", "PHP", 27, 0, 0, 0, 2, 5, 34
"c:\Users\leann\Documents\GitHub\legendary-octo-guide\OLD\cust\pages\repair\book-a-repair.php", "PHP", 145, 0, 0, 0, 12, 10, 167
"c:\Users\leann\Documents\GitHub\legendary-octo-guide\OLD\cust\pages\repair\my-repair-sessions.php", "PHP", 74, 0, 0, 0, 5, 6, 85
"c:\Users\leann\Documents\GitHub\legendary-octo-guide\OLD\cust\scripts\config.php", "PHP", 10, 0, 0, 0, 10, 3, 23
"c:\Users\leann\Documents\GitHub\legendary-octo-guide\OLD\cust\scripts\css.php", "PHP", 6, 0, 0, 0, 0, 0, 6
"c:\Users\leann\Documents\GitHub\legendary-octo-guide\OLD\cust\scripts\echo.php", "PHP", 13, 0, 0, 0, 2, 4, 19
"c:\Users\leann\Documents\GitHub\legendary-octo-guide\OLD\cust\scripts\js.php", "PHP", 7, 0, 0, 0, 0, 0, 7
"c:\Users\leann\Documents\GitHub\legendary-octo-guide\OLD\cust\scripts\new_item.php", "PHP", 20, 0, 0, 0, 6, 6, 32
"c:\Users\leann\Documents\GitHub\legendary-octo-guide\OLD\cust\scripts\new_repair.php", "PHP", 19, 0, 0, 0, 6, 5, 30
"c:\Users\leann\Documents\GitHub\legendary-octo-guide\OLD\cust\scripts\new_user.php", "PHP", 15, 0, 0, 0, 6, 5, 26
"c:\Users\leann\Documents\GitHub\legendary-octo-guide\OLD\cust\scripts\session.php", "PHP", 7, 0, 0, 0, 2, 1, 10
"c:\Users\leann\Documents\GitHub\legendary-octo-guide\OLD\cust\scripts\ssp.class.php", "PHP", 308, 0, 0, 0, 181, 82, 571
"c:\Users\leann\Documents\GitHub\legendary-octo-guide\OLD\cust\scripts\users.php", "PHP", 19, 0, 0, 0, 23, 8, 50
"c:\Users\leann\Documents\GitHub\legendary-octo-guide\OLD\cust\src\auth\login.php", "PHP", 113, 0, 0, 0, 17, 16, 146
"c:\Users\leann\Documents\GitHub\legendary-octo-guide\OLD\cust\src\auth\logout.php", "PHP", 7, 0, 0, 0, 4, 3, 14
"c:\Users\leann\Documents\GitHub\legendary-octo-guide\OLD\cust\src\auth\register.php", "PHP", 141, 0, 0, 0, 20, 19, 180
"c:\Users\leann\Documents\GitHub\legendary-octo-guide\OLD\cust\src\auth\reset-password.php", "PHP", 89, 0, 0, 0, 15, 13, 117
"c:\Users\leann\Documents\GitHub\legendary-octo-guide\OLD\cust\src\misc\account.php", "PHP", 153, 0, 0, 0, 12, 16, 181
"c:\Users\leann\Documents\GitHub\legendary-octo-guide\OLD\cust\src\misc\adminheader.php", "PHP", 160, 0, 0, 0, 0, 22, 182
"c:\Users\leann\Documents\GitHub\legendary-octo-guide\OLD\cust\src\misc\faq.php", "PHP", 24, 0, 0, 0, 2, 6, 32
"c:\Users\leann\Documents\GitHub\legendary-octo-guide\OLD\cust\src\misc\footer.php", "PHP", 20, 0, 0, 0, 0, 0, 20
"c:\Users\leann\Documents\GitHub\legendary-octo-guide\OLD\cust\src\misc\header.php", "PHP", 141, 0, 0, 0, 0, 21, 162
"c:\Users\leann\Documents\GitHub\legendary-octo-guide\OLD\cust\src\misc\simple-header.php", "PHP", 86, 0, 0, 0, 0, 14, 100
"c:\Users\leann\Documents\GitHub\legendary-octo-guide\OLD\cust\src\misc\support.php", "PHP", 27, 0, 0, 0, 2, 5, 34
"c:\Users\leann\Documents\GitHub\legendary-octo-guide\OLD\cust\src\underconstruction\index.html", "HTML", 0, 0, 255, 0, 0, 16, 271
"c:\Users\leann\Documents\GitHub\legendary-octo-guide\OLD\cust\src\underconstruction\js\jquery-3.6.0.js", "JavaScript", 0, 0, 0, 6895, 1911, 2076, 10882
"c:\Users\leann\Documents\GitHub\legendary-octo-guide\README.md", "Markdown", 0, 3, 0, 0, 0, 3, 6
"c:\Users\leann\Documents\GitHub\legendary-octo-guide\admin\admin_console\account.php", "PHP", 162, 0, 0, 0, 15, 19, 196
"c:\Users\leann\Documents\GitHub\legendary-octo-guide\admin\admin_console\add-a-user.php", "PHP", 109, 0, 0, 0, 6, 11, 126
"c:\Users\leann\Documents\GitHub\legendary-octo-guide\admin\admin_console\all-repair-sessions.php", "PHP", 105, 0, 0, 0, 5, 8, 118
"c:\Users\leann\Documents\GitHub\legendary-octo-guide\admin\admin_console\all-users.php", "PHP", 126, 0, 0, 0, 5, 50, 181
"c:\Users\leann\Documents\GitHub\legendary-octo-guide\admin\admin_console\book-a-howto.php", "PHP", 27, 0, 0, 0, 2, 5, 34
"c:\Users\leann\Documents\GitHub\legendary-octo-guide\admin\admin_console\book-a-repair.php", "PHP", 107, 0, 0, 0, 2, 3, 112
"c:\Users\leann\Documents\GitHub\legendary-octo-guide\admin\admin_console\borrow-an-item.php", "PHP", 89, 0, 0, 0, 7, 18, 114
"c:\Users\leann\Documents\GitHub\legendary-octo-guide\admin\admin_console\config.php", "PHP", 10, 0, 0, 0, 10, 3, 23
"c:\Users\leann\Documents\GitHub\legendary-octo-guide\admin\admin_console\create-lot-item.php", "PHP", 101, 0, 0, 0, 2, 14, 117
"c:\Users\leann\Documents\GitHub\legendary-octo-guide\admin\admin_console\footer.php", "PHP", 29, 0, 0, 0, 2, 2, 33
"c:\Users\leann\Documents\GitHub\legendary-octo-guide\admin\admin_console\header.php", "PHP", 167, 0, 0, 0, 3, 22, 192
"c:\Users\leann\Documents\GitHub\legendary-octo-guide\admin\admin_console\js\jquery-3.6.0.js", "JavaScript", 0, 0, 0, 6895, 1911, 2075, 10881
"c:\Users\leann\Documents\GitHub\legendary-octo-guide\admin\admin_console\library-of-things.php", "PHP", 107, 0, 0, 0, 5, 8, 120
"c:\Users\leann\Documents\GitHub\legendary-octo-guide\admin\admin_console\login.php", "PHP", 122, 0, 0, 0, 22, 20, 164
"c:\Users\leann\Documents\GitHub\legendary-octo-guide\admin\admin_console\logout.php", "PHP", 7, 0, 0, 0, 4, 3, 14
"c:\Users\leann\Documents\GitHub\legendary-octo-guide\admin\admin_console\my-booked-howto.php", "PHP", 27, 0, 0, 0, 2, 5, 34
"c:\Users\leann\Documents\GitHub\legendary-octo-guide\admin\admin_console\new_item.php", "PHP", 20, 0, 0, 0, 6, 6, 32
"c:\Users\leann\Documents\GitHub\legendary-octo-guide\admin\admin_console\new_repair.php", "PHP", 19, 0, 0, 0, 6, 5, 30
"c:\Users\leann\Documents\GitHub\legendary-octo-guide\admin\admin_console\new_user.php", "PHP", 15, 0, 0, 0, 6, 5, 26
"c:\Users\leann\Documents\GitHub\legendary-octo-guide\admin\admin_console\reset-password.php", "PHP", 89, 0, 0, 0, 15, 13, 117
"c:\Users\leann\Documents\GitHub\legendary-octo-guide\admin\admin_console\scripts\ssp.class.php", "PHP", 308, 0, 0, 0, 181, 82, 571
"c:\Users\leann\Documents\GitHub\legendary-octo-guide\admin\admin_console\scripts\users.php", "PHP", 23, 0, 0, 0, 23, 11, 57
