Date : 2023-05-06 00:17:06
Directory : c:\Users\leann\Documents\GitHub\legendary-octo-guide
Total : 179 files,  81803 codes, 21242 comments, 22815 blanks, all 125860 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JavaScript |         10 |     68,950 |     19,110 |     20,755 |    108,815 |
| PHP        |        162 |     11,575 |      2,132 |      1,976 |     15,683 |
| HTML       |          6 |      1,275 |          0 |         81 |      1,356 |
| Markdown   |          1 |          3 |          0 |          3 |          6 |
+------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                       | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\Users\leann\Documents\GitHub\legendary-octo-guide\admin\admin_console\logout.php                        | PHP        |          7 |          4 |          3 |         14 |
| c:\Users\leann\Documents\GitHub\legendary-octo-guide\admin\admin_console\my-booked-howto.php               | PHP        |         27 |          2 |          5 |         34 |
| c:\Users\leann\Documents\GitHub\legendary-octo-guide\admin\admin_console\new_item.php                      | PHP        |         20 |          6 |          6 |         32 |
| c:\Users\leann\Documents\GitHub\legendary-octo-guide\admin\admin_console\new_repair.php                    | PHP        |         19 |          6 |          5 |         30 |
| c:\Users\leann\Documents\GitHub\legendary-octo-guide\admin\admin_console\new_user.php                      | PHP        |         15 |          6 |          5 |         26 |
| c:\Users\leann\Documents\GitHub\legendary-octo-guide\admin\admin_console\reset-password.php                | PHP        |         89 |         15 |         13 |        117 |
| c:\Users\leann\Documents\GitHub\legendary-octo-guide\admin\admin_console\scripts\ssp.class.php             | PHP        |        308 |        181 |         82 |        571 |
| c:\Users\leann\Documents\GitHub\legendary-octo-guide\admin\admin_console\scripts\users.php                 | PHP        |         23 |         23 |         11 |         57 |
| c:\Users\leann\Documents\GitHub\legendary-octo-guide\admin\admin_console\simple-header.php                 | PHP        |         38 |          0 |          5 |         43 |
| c:\Users\leann\Documents\GitHub\legendary-octo-guide\admin\admin_console\summary.php                       | PHP        |          0 |          0 |          1 |          1 |
| c:\Users\leann\Documents\GitHub\legendary-octo-guide\admin\config.php                                      | PHP        |         10 |         10 |          3 |         23 |
| c:\Users\leann\Documents\GitHub\legendary-octo-guide\admin\customers\account.php                           | PHP        |        162 |         15 |         19 |        196 |
| c:\Users\leann\Documents\GitHub\legendary-octo-guide\admin\customers\book-a-howto.php                      | PHP        |         27 |          2 |          5 |         34 |
| c:\Users\leann\Documents\GitHub\legendary-octo-guide\admin\customers\book-a-repair.php                     | PHP        |        145 |         12 |         10 |        167 |
| c:\Users\leann\Documents\GitHub\legendary-octo-guide\admin\customers\borrow-an-item.php                    | PHP        |         89 |          7 |         18 |        114 |
| c:\Users\leann\Documents\GitHub\legendary-octo-guide\admin\customers\config.php                            | PHP        |         10 |         10 |          3 |         23 |
| c:\Users\leann\Documents\GitHub\legendary-octo-guide\admin\customers\header.php                            | PHP        |        149 |          3 |         23 |        175 |
| c:\Users\leann\Documents\GitHub\legendary-octo-guide\admin\customers\js\jquery-3.6.0.js                    | JavaScript |      6,895 |      1,911 |      2,075 |     10,881 |
